DT,PersianDate,ContractCode,FirstPrice,MaxPrice,MinPrice,LastPrice,TradesVolume,TradesValue,OpenInterest,ChangeOpenInterest,ActiveCustomers,ActiveBrokers,C_Buy,C_Sell,LastSettlementPrice,TodaySettlementPrice,SettlementPricePercent
2025-05-04T00:00:00,1404/02/14,CD1SIB0001,949990.0,950000.0,933030.0,943970.0,22317,21023703250,11930521,17783,2605,61,72,28,935549.0,942049.0,0.6948
2025-05-05T00:00:00,1404/02/15,CD1SIB0001,936000.0,959990.0,901000.0,920000.0,26040,24272193540,11935648,5127,2614,61,88,32,942049.0,932112.0,-1.0548
2025-05-06T00:00:00,1404/02/16,CD1SIB0001,954000.0,954000.0,900000.0,902110.0,26969,24636138060,11951629,15981,2632,61,96,20,932112.0,913498.0,-1.997
2025-05-07T00:00:00,1404/02/17,CD1SIB0001,909000.0,909000.0,870000.0,870000.0,197414,174836271300,12115721,164092,2642,62,139,21,913498.0,885633.0,-3.0504
2025-05-08T00:00:00,1404/02/18,CD1SIB0001,900000.0,900000.0,877000.0,887910.0,18775,16558288540,12127551,11830,2648,62,37,9,885633.0,881933.0,-0.4178
2025-05-10T00:00:00,1404/02/20,CD1SIB0001,903000.0,903000.0,865010.0,880000.0,91390,80457034450,12185259,57708,2652,62,112,19,881933.0,880370.0,-0.1772
2025-05-11T00:00:00,1404/02/21,CD1SIB0001,906000.0,909990.0,865500.0,870000.0,22743,20418831330,12199376,14117,2659,62,98,24,880370.0,897807.0,1.9806
2025-05-12T00:00:00,1404/02/22,CD1SIB0001,875000.0,882850.0,865000.0,880000.0,26851,23592922940,12209160,9784,2659,63,66,28,897807.0,878661.0,-2.1325
2025-05-13T00:00:00,1404/02/23,CD1SIB0001,899950.0,899950.0,877000.0,880000.0,27619,24301977350,12230798,21638,2665,63,63,11,878661.0,879901.0,0.1411
2025-05-14T00:00:00,1404/02/24,CD1SIB0001,880000.0,889970.0,880000.0,887940.0,21374,18927092230,12249363,18565,2664,63,65,16,879901.0,885519.0,0.6385
2025-05-15T00:00:00,1404/02/25,CD1SIB0001,853130.0,856800.0,848010.0,850000.0,13284,11305559210,12259044,9681,2665,63,52,12,885519.0,851066.0,-3.8907
2025-05-17T00:00:00,1404/02/27,CD1SIB0001,869980.0,869980.0,848010.0,858990.0,9449,8081819980,12260755,1711,2663,63,80,27,851066.0,855310.0,0.4987
2025-05-18T00:00:00,1404/02/28,CD1SIB0001,863000.0,864900.0,828100.0,830000.0,15034,12695541940,12270585,9830,2665,63,105,25,855310.0,844455.0,-1.2691
2025-05-19T00:00:00,1404/02/29,CD1SIB0001,843000.0,859990.0,830000.0,830000.0,22094,18635990350,12286094,15509,2671,63,99,18,844455.0,843486.0,-0.1147
2025-05-20T00:00:00,1404/02/30,CD1SIB0001,848000.0,884000.0,848000.0,880000.0,19995,17462052910,12288594,2500,2676,63,66,32,843486.0,873321.0,3.5371
2025-05-21T00:00:00,1404/02/31,CD1SIB0001,881810.0,914000.0,880000.0,880000.0,26984,24305292010,12305202,16608,2677,63,58,31,873321.0,900730.0,3.1385
2025-05-22T00:00:00,1404/03/01,CD1SIB0001,889000.0,893970.0,887000.0,887500.0,6549,5815170560,12305202,0,2675,63,15,5,900730.0,887948.0,-1.4191
2025-05-24T00:00:00,1404/03/03,CD1SIB0001,902000.0,902000.0,871500.0,880000.0,25278,22504051230,12326748,21546,2689,63,98,16,887948.0,890262.0,0.2606
2025-05-25T00:00:00,1404/03/04,CD1SIB0001,881000.0,887000.0,856000.0,860000.0,91479,78899403900,12414842,88094,2700,63,96,16,890262.0,862487.0,-3.1199
2025-05-26T00:00:00,1404/03/05,CD1SIB0001,863000.0,863000.0,850000.0,860000.0,19676,16875018000,12429253,14411,2700,63,54,14,862487.0,857645.0,-0.5614
2025-05-27T00:00:00,1404/03/06,CD1SIB0001,860000.0,868990.0,840000.0,844990.0,151318,127389837910,12572926,143673,2707,63,111,19,857645.0,841868.0,-1.8396
2025-05-28T00:00:00,1404/03/07,CD1SIB0001,869960.0,869960.0,845000.0,854380.0,109359,92618889100,12674640,101714,2713,63,67,17,841868.0,846925.0,0.6007
2025-05-29T00:00:00,1404/03/08,CD1SIB0001,855540.0,855540.0,836670.0,844980.0,5368,4519886770,12675707,1067,2707,63,34,15,846925.0,842006.0,-0.5808
2025-05-31T00:00:00,1404/03/10,CD1SIB0001,838000.0,848000.0,828010.0,837590.0,152674,126691185060,12824482,148775,2712,63,91,19,842006.0,829815.0,-1.4479
2025-06-01T00:00:00,1404/03/11,CD1SIB0001,821900.0,834470.0,815000.0,825000.0,79738,65245918370,12884636,60154,2712,63,105,22,829815.0,818254.0,-1.3932
2025-06-02T00:00:00,1404/03/12,CD1SIB0001,824000.0,852000.0,824000.0,852000.0,67760,56261540850,12893436,8800,2713,63,74,25,818254.0,830306.0,1.4729
